TMA,Version,3.5-public,,,,,,,,,,,,,,,,,3.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,Server,,Server,,Server,,Server,,Server,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key,Level1,Level2,Level3,Level4,SKX/CLX,SKL/KBL/KBLR/CFL,BDX,BDW/BDW-DE,HSX,HSW,IVT,IVB,JKT/SNB-EP,SNB,Locate-with,Count Domain,Metric Description,Threshold,Version,Metric Group,Metric Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Inst_Mix,IpB,,,,,,,,,,,INST_RETIRED.ANY / BR_INST_RETIRED.ALL_BRANCHES,,,,Metric,Instructions per Branch,,3.2,Branches;Instruction_Type;Port_5;Port_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Inst_Mix,IpCall,,,,,,,,,,,INST_RETIRED.ANY / BR_INST_RETIRED.NEAR_CALL,,,,Metric,Instruction per (near) call,< 100,3.2,Branches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Inst_Mix,Instructions,,,,,,,,,,,,,INST_RETIRED.ANY,INST_RETIRED.PREC_DIST,Count,Total number of retired Instructions,,3.2,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,CoreIPC,,,,,,,,,,,,,INST_RETIRED.ANY / CORE_CLKS,,CoreMetric,Instructions Per Cycle (per physical core),,2.9,SMT,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,FLOPc,,,,,,,#FLOP_Count / CORE_CLKS,,#NA,,,,#FLOP_Count / CORE_CLKS,,CoreMetric,Floating Point Operations Per Cycle,,3.0,FLOPS,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,ILP,,,,,,,UOPS_EXECUTED.THREAD / #Execute_Cycles,,( UOPS_EXECUTED.CORE / 2 / #Execute_Cycles ) if #SMT_on else UOPS_EXECUTED.CORE / #Execute_Cycles,,UOPS_EXECUTED.THREAD / #Execute_Cycles,,UOPS_DISPATCHED.THREAD / #Execute_Cycles,,CoreMetric,Instruction-Level-Parallelism (average number of uops executed when there is at least 1 uop executed),,2.9,Pipeline;Ports_Utilization,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,Branch_Misprediction_Cost,,,,,,,( Branch_Mispredicts + Frontend_Latency * Branch_Resteers / ##Frontend_Latency ) * SLOTS / BR_MISP_RETIRED.ALL_BRANCHES_PS,,,,,,#NA,,CoreMetric,Branch Misprediction Cost: Fraction of TopDown slots wasted per branch misprediction (jeclear and baclear),,3.3,Branch_Mispredicts,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,IpMispredict,,,,,,,,,,,INST_RETIRED.ANY / BR_MISP_RETIRED.ALL_BRANCHES_PS,,,,Metric,Number of Instructions per non-speculative Branch Misprediction (JEClear),,3.4,Branch_Mispredicts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Core,CORE_CLKS,,,,,,,,,,,,,( ( CPU_CLK_UNHALTED.THREAD / 2 ) * ( 1 + CPU_CLK_UNHALTED.ONE_THREAD_ACTIVE / CPU_CLK_UNHALTED.REF_XCLK ) ) if #EBS_Mode else ( CPU_CLK_UNHALTED.THREAD_ANY / 2 ) if #SMT_on else CLKS,,Count,Core actual clocks when any thread is active on the physical core,,3.3,SMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,Load_Miss_Real_Latency,,,,,L1D_PEND_MISS.PENDING / ( MEM_LOAD_RETIRED.L1_MISS_PS + MEM_LOAD_RETIRED.FB_HIT_PS ),,,,,,L1D_PEND_MISS.PENDING / ( MEM_LOAD_UOPS_RETIRED.L1_MISS + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS ),,#NA,,Metric,Actual Average Latency for L1 data-cache miss demand loads (in core cycles),,3.1,Memory_Bound;Memory_Lat,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,MLP,,,,,,,,,,,L1D_PEND_MISS.PENDING / L1D_PEND_MISS.PENDING_CYCLES,,#NA,,Metric,Memory-Level-Parallelism (average number of L1 miss demand load when there is at least one such miss. Per-thread),,3.4,Memory_Bound;Memory_BW,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,Page_Walks_Utilization,,,,,( ITLB_MISSES.WALK_PENDING + DTLB_LOAD_MISSES.WALK_PENDING + DTLB_STORE_MISSES.WALK_PENDING + EPT.WALK_PENDING ) / ( 2 * CORE_CLKS ),( ITLB_MISSES.WALK_DURATION + DTLB_LOAD_MISSES.WALK_DURATION + DTLB_STORE_MISSES.WALK_DURATION + 7 * ( DTLB_STORE_MISSES.WALK_COMPLETED + DTLB_LOAD_MISSES.WALK_COMPLETED + ITLB_MISSES.WALK_COMPLETED ) ) / ( 2 * CORE_CLKS ),( ITLB_MISSES.WALK_DURATION:c1 + DTLB_LOAD_MISSES.WALK_DURATION:c1 + DTLB_STORE_MISSES.WALK_DURATION:c1 + 7 * ( DTLB_STORE_MISSES.WALK_COMPLETED + DTLB_LOAD_MISSES.WALK_COMPLETED + ITLB_MISSES.WALK_COMPLETED ) ) / CORE_CLKS,,,,( ITLB_MISSES.WALK_DURATION + DTLB_LOAD_MISSES.WALK_DURATION + DTLB_STORE_MISSES.WALK_DURATION ) / CORE_CLKS,,#NA,,CoreMetric,Utilization of the core's Page Walker(s) serving STLB misses triggered by instruction/Load/Store accesses,> 0.5,3.1,TLB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L1D_Cache_Fill_BW,,,,,,,,,,,64 * L1D.REPLACEMENT / #OneBillion / Time,,#NA,,CoreMetric,Average data fill bandwidth to the L1 data cache [GB / sec],,3.4,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L2_Cache_Fill_BW,,,,,,,,,,,64 * L2_LINES_IN.ALL / #OneBillion / Time,,#NA,,CoreMetric,Average data fill bandwidth to the L2 cache [GB / sec],,3.4,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L3_Cache_Fill_BW,,,,,,,,,,,64 * LONGEST_LAT_CACHE.MISS / #OneBillion / Time,,#NA,,CoreMetric,Average per-core data fill bandwidth to the L3 cache [GB / sec],,3.5,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L3_Cache_Access_BW,,,,,64 * OFFCORE_REQUESTS.ALL_REQUESTS / #OneBillion / Time,,,,,,,,#NA,,CoreMetric,Average per-core data fill bandwidth to the L3 cache [GB / sec],,3.5,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L1MPKI,,,,,1000 * MEM_LOAD_RETIRED.L1_MISS_PS / INST_RETIRED.ANY,,,,,,1000 * MEM_LOAD_UOPS_RETIRED.L1_MISS / INST_RETIRED.ANY,,#NA,,Metric,L1 cache true misses per kilo instruction for retired demand loads,,3.3,Cache_Misses;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L2MPKI,,,,,1000 * MEM_LOAD_RETIRED.L2_MISS_PS / INST_RETIRED.ANY,,,,,,1000 * MEM_LOAD_UOPS_RETIRED.L2_MISS / INST_RETIRED.ANY,,#NA,,Metric,L2 cache true misses per kilo instruction for retired demand loads,,3.3,Cache_Misses;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L2MPKI_All,,,,,,,1000 * L2_RQSTS.MISS / INST_RETIRED.ANY,,,,1000 * MEM_LOAD_UOPS_RETIRED.L2_MISS / INST_RETIRED.ANY,,#NA,,Metric,L2 cache misses per kilo instruction for all request types (including speculative),,3.5,Cache_Misses;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L2HPKI_All,,,,,,,1000 * ( L2_RQSTS.REFERENCES - L2_RQSTS.MISS ) / INST_RETIRED.ANY,,,,1000 * MEM_LOAD_UOPS_RETIRED.L2_MISS / INST_RETIRED.ANY,,#NA,,Metric,L2 cache hits per kilo instruction for all request types (including speculative),,3.5,Cache_Misses;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.Memory,L3MPKI,,,,,1000 * MEM_LOAD_RETIRED.L3_MISS_PS / INST_RETIRED.ANY,,,,1000 * MEM_LOAD_UOPS_RETIRED.L3_MISS_PS / INST_RETIRED.ANY,,1000 * MEM_LOAD_UOPS_RETIRED.LLC_MISS_PS / INST_RETIRED.ANY,,#NA,,Metric,L3 cache true misses per kilo instruction for retired demand loads,,3.3,Cache_Misses;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,CPU_Utilization,,,,,,,,,,,,,CPU_CLK_UNHALTED.REF_TSC / TSC,,Metric,Average CPU Utilization,,2.5,Summary,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Average_Frequency,,,,,,,,,,,,,Base_Frequency * Turbo_Utilization / 1000,,SystemMetric,Measured Average Frequency for unhalted processors [GHz],,3.4,Summary;Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,GFLOPs,,,,,,,( #FLOP_Count / #OneBillion ) / #DurationTimeInSeconds,,#NA,,,,( #FLOP_Count / #OneBillion ) / #DurationTimeInSeconds,,Metric,Giga Floating Point Operations Per Second,,3.4,FLOPS;Summary,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Turbo_Utilization,,,,,,,,,,,,,CLKS / CPU_CLK_UNHALTED.REF_TSC,,CoreMetric,Average Frequency Utilization relative nominal frequency,,3.0,Power,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,SMT_2T_Utilization,,,,,,,,,,,,,1 - CPU_CLK_THREAD_UNHALTED.ONE_THREAD_ACTIVE / ( CPU_CLK_THREAD_UNHALTED.REF_XCLK_ANY / 2 ) if #SMT_on else 0,,CoreMetric,Fraction of cycles where both hardware threads were active,,3.1,SMT;Summary,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Kernel_Utilization,,,,,,,,,,,,,CPU_CLK_UNHALTED.REF_TSC:sup / CPU_CLK_UNHALTED.REF_TSC,,Metric,Fraction of cycles spent in Kernel mode,> 0.1,3.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,DRAM_BW_Use,,,,,,,,,,,,( 64 * ( UNC_M_CAS_COUNT.RD + UNC_M_CAS_COUNT.WR ) / #OneBillion ) / #DurationTimeInSeconds,64 * ( UNC_ARB_TRK_REQUESTS.ALL + UNC_ARB_COH_TRK_REQUESTS.ALL ) / #OneMillion / #DurationTimeInSeconds / 1000,,SystemMetric,Average external Memory Bandwidth Use for reads and writes [GB / sec],; $issueBW,3.4,Memory_BW,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,DRAM_Read_Latency,,,,#OneBillion * ( UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD / UNC_CHA_TOR_INSERTS.IA_MISS_DRD ) / ( Socket_CLKS / Time ),#OneBillion * ( UNC_ARB_TRK_OCCUPANCY.DATA_READ / UNC_ARB_TRK_REQUESTS.DATA_READ ) / ( Socket_CLKS / Time ),,,#OneBillion * ( UNC_C_TOR_OCCUPANCY.MISS_OPCODE:opc=0x182 / UNC_C_TOR_INSERTS.MISS_OPCODE:opc=0x182 ) / ( Socket_CLKS / Time ),,,,"#OneBillion * ( ""UNC_C_TOR_OCCUPANCY.MISS_OPCODE/Match=0x182"" / ""UNC_C_TOR_INSERTS.MISS_OPCODE/Match=0x182"" ) / ( Socket_CLKS / Time )",#NA,,SystemMetric,Average latency of data read request to external memory (in nanoseconds). Accounts for demand loads and L1/L2 prefetches,,3.5,Memory_Lat,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,DRAM_Parallel_Reads,,,,UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD / UNC_CHA_TOR_OCCUPANCY.IA_MISS_DRD:c1,UNC_ARB_TRK_OCCUPANCY.DATA_READ / UNC_ARB_TRK_OCCUPANCY.DATA_READ:c1,,,UNC_C_TOR_OCCUPANCY.MISS_OPCODE:opc=0x182 / UNC_C_TOR_OCCUPANCY.MISS_OPCODE:opc=0x182:c1,,,,"""UNC_C_TOR_OCCUPANCY.MISS_OPCODE/Match=0x182"" / ""UNC_C_TOR_OCCUPANCY.MISS_OPCODE/Match=0x182:c1""",#NA,,SystemMetric,Average number of parallel data read requests to external memory. Accounts for demand loads and L1/L2 prefetches,,3.5,Memory_BW,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,MEM_PMM_Read_Latency,,,,( #OneBillion * ( UNC_M_PMM_RPQ_OCCUPANCY.ALL / UNC_M_PMM_RPQ_INSERTS ) / UNC_M_CLOCKTICKS:one_unit ) if #PMM_App_Direct else #NA,,,,,,,,,#NA,,SystemMetric,Average latency of data read request to external 3D X-Point memory [in nanoseconds]. Accounts for demand loads and L1/L2 data-read prefetches,,3.5,Memory_Lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,PMM_Read_BW,,,,( ( 64 * UNC_M_PMM_RPQ_INSERTS / #OneBillion ) / #DurationTimeInSeconds ) if #PMM_App_Direct else #NA,,,,,,,,,#NA,,SystemMetric,Average 3DXP Memory Bandwidth Use for reads [GB / sec],,3.5,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,PMM_Write_BW,,,,( ( 64 * UNC_M_PMM_WPQ_INSERTS / #OneBillion ) / #DurationTimeInSeconds ) if #PMM_App_Direct else #NA,,,,,,,,,#NA,,SystemMetric,Average 3DXP Memory Bandwidth Use for Writes [GB / sec],,3.5,Memory_BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Power,,,,,,,,( FREERUN_PKG_ENERGY_STATUS * #Energy_Unit + 15.6 * FREERUN_DRAM_ENERGY_STATUS ) / ( #DurationTimeInSeconds * #OneMillion ),UNC_PKG_ENERGY_STATUS * #Energy_Unit / ( #DurationTimeInSeconds * #OneMillion ),( FREERUN_PKG_ENERGY_STATUS + FREERUN_DRAM_ENERGY_STATUS ) * #Energy_Unit / ( #DurationTimeInSeconds * #OneMillion ),UNC_PKG_ENERGY_STATUS * #Energy_Unit / ( #DurationTimeInSeconds * #OneMillion ),,#NA,,SystemMetric,Total package Power in Watts,,2.9,Power,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Time,,,,,,,,,,,,,#DurationTimeInSeconds,,SystemMetric,Run duration time in seconds,< 1,3.4,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,MUX,,,,,,,,,,,,,CPU_CLK_UNHALTED.THREAD_P / CPU_CLK_UNHALTED.THREAD,,Clocks,PerfMon Event Multiplexing accuracy indicator,( > 1.1 | < 0.9 ),3.1,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Info.System,Socket_CLKS,,,,UNC_CHA_CLOCKTICKS:one_unit,,,,,,,,UNC_C_CLOCKTICKS:one_unit,UNC_CLOCK.SOCKET,,Count,Socket actual clocks when any core is active on that socket,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,auxiliary,,,,,,,,,,,,,,,-,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#FLOP_Count,,,,( 1 * ( FP_ARITH_INST_RETIRED.SCALAR_SINGLE + FP_ARITH_INST_RETIRED.SCALAR_DOUBLE ) + 2 * FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE + 4 * ( FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE + FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE ) + 8 * ( FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE + FP_ARITH_INST_RETIRED.512B_PACKED_DOUBLE ) + 16 * FP_ARITH_INST_RETIRED.512B_PACKED_SINGLE ),,,( 1 * ( FP_ARITH_INST_RETIRED.SCALAR_SINGLE + FP_ARITH_INST_RETIRED.SCALAR_DOUBLE ) + 2 * FP_ARITH_INST_RETIRED.128B_PACKED_DOUBLE + 4 * ( FP_ARITH_INST_RETIRED.128B_PACKED_SINGLE + FP_ARITH_INST_RETIRED.256B_PACKED_DOUBLE ) + 8 * FP_ARITH_INST_RETIRED.256B_PACKED_SINGLE ),,#NA,,,,( 1 * ( FP_COMP_OPS_EXE.SSE_SCALAR_SINGLE + FP_COMP_OPS_EXE.SSE_SCALAR_DOUBLE ) + 2 * FP_COMP_OPS_EXE.SSE_PACKED_DOUBLE + 4 * ( FP_COMP_OPS_EXE.SSE_PACKED_SINGLE + SIMD_FP_256.PACKED_DOUBLE ) + 8 * SIMD_FP_256.PACKED_SINGLE ),,Count,Floating Point computational (arithmetic) Operations Count,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#Fetched_Uops,,,,,( IDQ.DSB_UOPS + LSD.UOPS + IDQ.MITE_UOPS + IDQ.MS_UOPS ) if #Model in ['KBLR' 'CFL' 'CLX'] else ( IDQ.DSB_UOPS + IDQ.MITE_UOPS + IDQ.MS_UOPS ),,,,,,,,( IDQ.DSB_UOPS + LSD.UOPS + IDQ.MITE_UOPS + IDQ.MS_UOPS ) ,,Count,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#Recovery_Cycles,,,,,,,,,,,,,( INT_MISC.RECOVERY_CYCLES_ANY / 2 ) if #SMT_on else INT_MISC.RECOVERY_CYCLES,,Count,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#Execute_Cycles,,,,,( UOPS_EXECUTED.CORE_CYCLES_GE_1 / 2 ) if #SMT_on else UOPS_EXECUTED.CORE_CYCLES_GE_1,,( UOPS_EXECUTED.CORE:c1 / 2 ) if #SMT_on else UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC,,( UOPS_EXECUTED.CORE:c1 / 2 ) if #SMT_on else UOPS_EXECUTED.CORE:c1,,( UOPS_EXECUTED.CORE:c1 / 2 ) if #SMT_on else UOPS_EXECUTED.CYCLES_GE_1_UOP_EXEC,,( UOPS_DISPATCHED.CORE:c1 / 2 ) if #SMT_on else UOPS_DISPATCHED.CORE:c1,,Count,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#ITLB_Miss_Cycles,,,,,( 14 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_ACTIVE ),,( 14 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_DURATION:c1 + 7 * ITLB_MISSES.WALK_COMPLETED ),,( 14 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_DURATION ),,,,( 12 * ITLB_MISSES.STLB_HIT + ITLB_MISSES.WALK_DURATION ),,Count,,,3.4,TLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#Frontend_RS_Empty_Cycles,,,,,#NA,,,,,,,,RS_EVENTS.EMPTY_CYCLES if ( Frontend_Latency > 0.1 ) else 0,,Count,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#Frontend_Latency_Cycles,,,,,,,#NA,,,,,,"min( CPU_CLK_UNHALTED.THREAD , IDQ_UOPS_NOT_DELIVERED.CYCLES_0_UOPS_DELIV.CORE )",,Count,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#STALLS_MEM_ANY,,,,,,,#NA,,,,"min( CPU_CLK_UNHALTED.THREAD , CYCLE_ACTIVITY.STALLS_LDM_PENDING )",,"min( CPU_CLK_UNHALTED.THREAD , CYCLE_ACTIVITY.STALLS_L1D_PENDING )",,Count,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#STALLS_TOTAL,,,,,,,#NA,,,,"min( CPU_CLK_UNHALTED.THREAD , CYCLE_ACTIVITY.CYCLES_NO_EXECUTE )",,"min( CPU_CLK_UNHALTED.THREAD , CYCLE_ACTIVITY.CYCLES_NO_DISPATCH )",,Count,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#ORO_DRD_Any_Cycles,,,,,,,,,,,,,"min( CPU_CLK_UNHALTED.THREAD , OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD )",,Count,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#ORO_DRD_BW_Cycles,,,,,,,"min( CPU_CLK_UNHALTED.THREAD , OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:c4 )",,,,,,"min( CPU_CLK_UNHALTED.THREAD , OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:c6 )",,Count,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_L1_MISS,,,,,MEM_LOAD_RETIRED.L2_HIT_PS + MEM_LOAD_RETIRED.L3_HIT_PS + MEM_LOAD_L3_HIT_RETIRED.XSNP_HIT_PS + MEM_LOAD_L3_HIT_RETIRED.XSNP_HITM_PS + MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS_PS,,,,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS + MEM_LOAD_UOPS_RETIRED.L3_HIT_PS + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HIT_PS + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_HITM_PS + MEM_LOAD_UOPS_L3_HIT_RETIRED.XSNP_MISS_PS,,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS + MEM_LOAD_UOPS_RETIRED.LLC_HIT_PS + MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HIT_PS + MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_HITM_PS + MEM_LOAD_UOPS_LLC_HIT_RETIRED.XSNP_MISS_PS,,#NA,,Count,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_L1_MISS_NET,,,,( #LOAD_L1_MISS + MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD_PS + MEM_LOAD_RETIRED.LOCAL_PMM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS ) if #PMM_App_Direct else ( #LOAD_L1_MISS + MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS + MEM_LOAD_L3_MISS_RETIRED.REMOTE_FWD_PS ),#LOAD_L1_MISS + MEM_LOAD_RETIRED.L3_MISS_PS,,,#LOAD_L1_MISS + MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS + MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_FWD_PS,#LOAD_L1_MISS + MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,#LOAD_L1_MISS + MEM_LOAD_UOPS_LLC_MISS_RETIRED.LOCAL_DRAM_PS + MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_DRAM_PS + MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_HITM_PS + MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_FWD_PS,#LOAD_L1_MISS + MEM_LOAD_UOPS_RETIRED.LLC_MISS_PS,,#NA,,Count,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_L2_HIT,,,,,MEM_LOAD_RETIRED.L2_HIT_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ),,,,,,,,#NA,,Count,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_LCL_MEM,,,,MEM_LOAD_L3_MISS_RETIRED.LOCAL_DRAM_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ),,,,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,MEM_LOAD_UOPS_LLC_MISS_RETIRED.LOCAL_DRAM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_LCL_PMM,,,,( MEM_LOAD_RETIRED.LOCAL_PMM_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ) ) if #PMM_App_Direct else #NA,,,,,,,,,,,Count,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_RMT_PMM,,,,( MEM_LOAD_L3_MISS_RETIRED.REMOTE_PMM_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ) ) if #PMM_App_Direct else #NA,,,,,,,,,,,Count,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_RMT_MEM,,,,MEM_LOAD_L3_MISS_RETIRED.REMOTE_DRAM_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ),,,,MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_DRAM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_DRAM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aux,#LOAD_RMT_HITM,,,,MEM_LOAD_L3_MISS_RETIRED.REMOTE_HITM_PS * ( 1 + MEM_LOAD_RETIRED.FB_HIT_PS / #LOAD_L1_MISS_NET ),,,,MEM_LOAD_UOPS_L3_MISS_RETIRED.REMOTE_HITM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,MEM_LOAD_UOPS_LLC_MISS_RETIRED.REMOTE_HITM_PS * ( 1 + MEM_LOAD_UOPS_RETIRED.HIT_LFB_PS / #LOAD_L1_MISS_NET ),,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
